NO.,NAMA_SO,PROVINSI,ALAMAT,MASA_IZIN
81.,LPK JINZAI SERVIS INDONESIA,BANTEN,"JL. HOS COKROAMINOTO NO. 35, BLOK E1-E2, KEL. KREO SELATAN, KEC. LARANGAN",24-10-2026
82.,NEPMA LENTERA INDONESIA,JAWA BARAT,CITRAGRAND CIBUBUR CBD RUKO MARQUETTE BLOK AR1 NO. 27,24-10-2026
83.,LPK SHINCHOKU INDONESIA,JAWA BARAT,KAVLING TANAH TINGGI NO.62 RT.001/RW.025 ATAU OFFICE CIKARANG RUKO REDWOOD BLOKB.08 JL BULEVARD GANESHA KOTA DELTAMAS CIKARANG PUSAT,09-10-2026
84.,LPK GLOBAL ICHSAN MANDIRI,BANTEN,"RUKO KEBAYORAN ARCADE III BLOK KA/E1 NO 22-23 KELURAHAN PONDOK PUCUNG, KECAMATAN PONDOK AREN 15229",09-10-2026
85.,LPKS WORLD TRAINING CENTER PEMAGANGAN KE JEPANG,BALI,JALAN CEMPAKA NOMOR 1 PAYA AMLAPURA KARANG ASEM-BALI,09-10-2026
86.,LPK PRIMA DUTA SEJATI,JAWA TIMUR,"JL. RAYA TANJUNG 52-54, GEMPOL",09-10-2026
87.,INDONESIA JAPAN DEVELOPMENT WORK OF SKILL,JAWA TIMUR,JL. SIMPANG UNTUNG SUDIRO 103 RT 5 RW 4 KEL. CEMOROKANDANG KEC. KEDUNGKANDANG,09-10-2026
88.,PT. CHIKARA INDONESIA TANGGUH,DI YOGYAKARTA,"JL. RANDU RT02 RW04 KEL. AMBARKETAWANG, KEC. GAMPING",04-10-2026
89.,LPK AIBOU INDONESIA,DI YOGYAKARTA,"JL. KRIYANAN, RT.02/RW.06, AREA SAWAH, WATES, KEC. WATES, KABUPATEN KULON PROGO, DAERAH ISTIMEWA YOGYAKARTA 55651",03-10-2026
90.,LPK ERAI INDONESIA,JAWA BARAT,"PERUM TAMANJAYA INDAH BLOK D 370, DESA TAMANJAYA KEC. TAMANJAYA",22-09-2026
91.,UNIVERSAL JAPAN COURSE,JAWA TENGAH,"RUKO KLIPANG GOLF VIEW BLOK D 5-16, SENDANGMULYO, TEMBALANG, SEMARANG",22-09-2026
92.,LPK. HIMAWARI,JAWA TIMUR,PERUM BAMBU ASRI BLOK B NO 6-7 KEDUNGWARU TULUNGAGUNG JAWA TIMUR,22-09-2026
93.,LPK ABDI DARMA UTAMA,JAWA TENGAH,"JL. GAJAH MADA RT.07 RW.03 KEL.KALISAPU, KEC.SLAWI, KAB.TEGAL",18-09-2026
94.,LPK SAHARA (SAHABAT ANAK DAN REMAJA KREATIF),JAWA BARAT,JALAN NYENGSERET NO 35 BANDUNG,11-09-2026
95.,LPK HADETAMA,JAWA BARAT,"KOMPLEK RUKO JATIAGUNG NO.5, JLN KEMANGSARI, KEL. JATIBEING BARU, KEC. PONDOK GEDE",11-09-2026
96.,LPK TSUBAME JAPANESE LANGUAGE TRAINING CENTER,JAWA BARAT,GRAND GALAXY CITY RSA 3 NO. 25-27 KEL. PEKAYON JAYA KEC. BEKASI SELATAN,11-09-2026
97.,LPK JAPAN INDO PERKASA,SUMATERA UTARA,JL BATANG SERANGAN DUSUN PUJI DADI DESA SEI BAMBAN,08-09-2026
98.,LPK KOKORO BREBES,JAWA TENGAH,"TEGALGLAGAH, RT 004 RW 003 KEC. BULAKAMBA",31-08-2026
99.,LPK MAMORU NIHONGO GAKKOU,JAWA BARAT,BUKIT CIANJUR RESIDENCE RUKO NO 12,28-08-2026
100.,LPK LINK,BALI,"JL. PANTAI PURNAMA, BR. TEBUANA, DESA SUKAWATI, KEC. SUKAWATI",23-08-2026
101.,SINAR MAKMUR JAYA,JAWA TIMUR,JL. MELATI NO. 4,23-08-2026
102.,LPK MENTARI ASA BALI,BALI,JALAN DHARMA GIRI 99X GIANYAR,23-08-2026
103.,LPKS MAGDY INDONESIA,JAWA TENGAH,"PERUM VILLA MULAWARMAN K-23 RT.007 RW.002 JABUNGAN, BANYUMANIK",18-08-2026
104.,LPK INDONESIA JAPAN MUSUBI,JAWA BARAT,JL. SARIMANAH II BLOK 14 NO. 151 BANDUNG. KECAMATAN SUKASAD KELURAHAN SARIJADI JAWA BARAT,18-08-2026
105.,LPK GLOBAL MANDIRI INDONESIA,JAWA BARAT,JLN. BANDUNG - GARUT KM 20 RT/RW 01/12 DS. CIPACING KEC. JATINANGOR KAB. SUMEDANG,18-08-2026
106.,PT VIVA CIPTA MIRAI,JAWA TIMUR,"DADAPAN NO. 24 RT 16/ RW 06TLOGOREJO, PAGAK, MALANG, JAWA TIMUR 65168",10-08-2026
107.,LPK JOJO INTERNASIONAL GROUP,JAWA BARAT,"JALAN RAYA CIBEBER, RUKO DEPAN BTN CIBODAS, RT.004 RW.007, KELURAHAN SIRNAGALIH, KECAMATAN CILAKU",10-08-2026
108.,ASA HIKARI MULYA,JAWA TIMUR,JALAN ARIF RAHMAN HAKIM NO.42,10-08-2026
109.,LPK SUMBER JASA KREATIF,JAWA TIMUR,"JALAN HRM MANGUNDIPROJO NO. 556, BUDURAN, SIDOARJO",01-08-2026
110.,LPK PERWITA NUSARAYA,JAWA TIMUR,JL.RAYA BY PASS KM 31 DESA KRATON KECAMATAN KRIAN,01-08-2026
111.,YAYASAN ERU PUTRA INDONESIA,SUMATERA UTARA,JLN PUTRI MALU NO.8 DSN III SUMBER MAKMUR,01-08-2026
112.,PT. LPK AMARTA BANGUN INDONESIA,JAWA BARAT,"JL. PANDAWA, DESA DUREN RT.016/RW.005, DESA DUREN, KECAMATAN KLARI",01-08-2026
113.,PT JAPANNESIA LANGUAGE SCHOOL,JAWA BARAT,JL RAYA TERUSAN DESA BOJONGSARI KECAMATAN INDRAMAYU,01-08-2026
114.,LPK HOSHI GAKUEN BALI,BALI,"JL. RAYA PURI GADING, RUKO A1 NO.02A JIMBARAN, KEC. KUTA SELATAN",01-08-2026
115.,LPK MERAKI ASA KHATULISTIWA,JAWA BARAT,"GEDUNG GRHA BEKASI BAGUS JL. KH NOER ALI NO. 89, KAYURINGINJAYA BEKASI SELATAN, KOTA BEKASI 17144",01-08-2026
116.,LPK PERWITA NUSARAYA,JAWA TIMUR,JL.RAYA BY PASS KM 31 DESA KRATON KECAMATAN KRIAN,01-08-2026
117.,PT KIBI MOMOTARO INDONESIA,JAWA BARAT,RUKO GRAND ROYAL JL. PASAR BARU NO. 16 KELURAHAN KARANGMALANG KECAMATAN INDRAMAYU KABUPATEN INDRAMAYU PROVINSI JAWA BARAT 45213,01-08-2026
118.,LPK SELARAS,DKI JAKARTA,"JL H TIMUR NO 14, ASEM BARIS, TEBET",01-08-2026
119.,LPK SINAR WORLD INDONESIA,JAWA BARAT,"JL. KRUKUT RAYA NO. 17 B, RT. 01 RW. 013, KELURAHAN GROGOL, KECAMATAN LIMO",01-08-2026
120.,LPK CAHAYA DUTA BALI,BALI,"JL. RAMBUTAN, LING. BILUKPOH, KEL. TEGALCANGKRING, KEC. MENDOYO, KAB. JEMBRANA, BALI",21-07-2026
121.,LPK TERATAI GOGAKUIN,JAWA TENGAH,"JALAN KOTA BARU NO 106, BANYUURIP BARAT KEC.BANYUURIP KAB.TEMANGGUNG JAWA TENGAH",18-07-2026
122.,PT. KENJI JAYA PUTRA,JAWA BARAT,"DUSUN KRAJAN II RT 007, RW.002, BINONG, KEC. BINONG, KABUPATEN SUBANG, JAWA BARAT 41253",18-07-2026
123.,LPK KIBOU KAFKA SEJAHTERA,JAWA BARAT,JL. MASJID DARUSSALAM KP. KOBAK RT.004/017 RUKO SABAR GANDA NO.3 DESA MEKARSARI KEC. TAMBUN SELATAN,07-07-2026
124.,LPK HIKARI MAN POWER,JAWA BARAT,"JL. KAPTEN HALIM GANG SUMBA BONGAS RT 021/004 KEL SINDANGKASIH, KEC. PURWAKARTA",07-07-2026
125.,LPK. MOMIJI GAKUEN,JAWA TENGAH,JL. RAYA BANDAR-WONOTUNGGAL,07-07-2026
126.,LPK GRAHA LATIH EKSELENTA,DI YOGYAKARTA,"JL SETURAN II GG MANGGA NO 41, CT DEPOK",07-07-2026
127.,PT. YOTSUBA UNIVERSAL INDONESIA,JAWA TIMUR,"JALAN MAJAPAHIT NOMOR 37B, DESA/KELURAHAN TAMANBARU, KEC. BANYUWANGI, KAB. BANYUWANGI, PROVINSI JAWA TIMUR, KODE POS: 68416",07-07-2026
128.,CREDIBLE COLLEGE,KEPULAUAN RIAU,RUKO PANBIL BLOK B NO 12A,05-07-2026
129.,LPK MACCA INSPIRASI NUSANTARA,SULAWESI SELATAN,"JL. SULTAN DG. RAJA NO. 44, KOTA MAKASSAR",05-07-2026
130.,PT LPK IKAPEKSI MITRA SINERGI,LAMPUNG,JL.DW SARTIKA 22 RT 035 RW 007 BANJARSARI,26-06-2026
131.,LPK MATAHARI TERBIT,SULAWESI UTARA,"JL. BABE PALAR, RIKE. NO. 044 LINGK. II KEC. WANEA KOTA MANADO PROV. SULAWESI UTARA INDONESIA 95117.",26-06-2026
132.,LPK UCHUMARU,DI YOGYAKARTA,"JL. AMBAR BINANGUN NO. 25 DK. X SONOPAKIS KIDUL RT. 07 NGESTIHARJO, KASIHAN",26-06-2026
133.,LPK JAPAN EDUCATION GLOBAL,JAWA TENGAH,KEDEN WETAN RT 01 RW 01 DESA KEDEN KECAMATAN KALIJAMBE - 57275,26-06-2026
134.,LPK YUUKI SHORAI INDONESIA,JAWA BARAT,"RUKO BOULEVARD ARCADE JL.METRO BLOK CC/D9 KEL. PASIRSARI, KEC, CIKARANG SELATAN KAB. BEKASI",26-06-2026
135.,LPK AKIHIRO YUKI EDO,JAWA TENGAH,JLN. TAMAN BAYU PRASETYA TIMUR I BLOK B RT 10 RW 03. BANGETAYU WETAN. KEC.GENUK.,22-06-2026
136.,LPK GLOBAL ASIA SHAKAINDO,JAWA BARAT,DUSUN CIPARI RT003 RW001 DESA SUKARESIK KECAMATAN SIDAMULIH,22-06-2026
137.,LPK MIDORI GAKKOU,JAWA TENGAH,SUMBEREJO RT 04 RW 02 JAKEN,07-06-2026
138.,LPK. INTERNATIONAL PROFESSIONAL INSTITUTE,JAWA BARAT,JL. SYAMSUDIN SH NO 58/62 KELURAHAN CIKOLE KECAMATAN CIKOLE KOTA SUKABUMI,07-06-2026
139.,LPK INDOGLOBAL DUTA MANDIRI,JAWA BARAT,"RUKO IFOLIA 2, BLOK HY 46 NO.03",07-06-2026
140.,LPK YAYASAN KASHIKOI JAPANESE TRAINING CENTER,JAWA BARAT,"JL. SUKUP BARU NO. 35, KEL. PASIR ENDAH, KEC. UJUNGBERUNG, BANDUNG 40619",07-06-2026
141.,LPK EIKOU KAKEHASHI INDONESIA,JAWA BARAT,JL. TERUSAN AL-FATHU NO.92 DESA PAMEKARAN KECAMATAN SOREANG,07-06-2026
142.,LPK SEKAI INDONESIA,JAWA BARAT,"GRIYA CIMAHPAR ENDAH 1 JLN.SEDAP MALAM NO.07, RT. 004 RW.011 KEC.SUKARAJA, KAB.SUKABUMI KODE POS 43192",07-06-2026
143.,LPK JAPAN SUNDA KEREN,JAWA BARAT,JL.SANYERE DUSUN CIBULUH NO.51 DESA CIBULUH KECAMATAN UJUNGJAYA KABUPATEN SUMEDANG PROVINSI JAWABARAT 45383,29-05-2026
144.,LPK YOGA MUSTIKA PERSADA,DI YOGYAKARTA,"JL. DAMAI PUSUNG 2, BANTENG , SINDUHARJO,NGAGLIK,SLEMAN",29-05-2026
145.,LPK SAKURA MITRA INTERNASIONAL,BANTEN,"RUKO DARWIN TIMUR NO 72, JL PERMATA MEDANG, MEDANG, PAGEDANGAN, KABUPATEN TANGERANG 15810",29-05-2026
146.,LPK ENTRUST LESTARI INDONESIA,DKI JAKARTA,JALAN AMIL WAHAB NO. 22A RT.003 RW.009 KEL KRAMAT JATI KEC. KRAMAT JATI,29-05-2026
147.,LPK SAVA JAYA ANUGERAH,JAWA BARAT,"BEKASI TOWN SQUARE BLOK B11, JL. CUT MUTIA RAYA, KEL. MARGAHAYU, BEKASI TIMUR",22-05-2026
148.,YAYASAN BINA GENERASI BANGSA (BGB FOUNDATION),JAWA BARAT,JALAN CIGADUNG SELATAN II NO.2 BANDUNG 40191,17-05-2026
149.,LPK ONE PIECE INDONESIA,JAWA BARAT,KAMPUNG CIKETING KELURAHAN MUSTIKAJAYA KECAMATAN MUSTIKAJAYA,12-05-2026
150.,PT GAPINDO GEMILANG PRESTASI INDONESIA,SUMATERA UTARA,"VILLA BAHAGIA JL. BAHAGIA BY PASS NO 1. KELURAHAN SUDIREJO II KECAMATAN MEDAN KOTA, 20226 SIMPANG LIMUN MEDAN.",12-05-2026
151.,LPK FUKUTOMI JAPANESE SCHOOL,JAWA TIMUR,"JL RAYA SRENGAT RT 01/RW03, DANDONG, SRENGAT, BLITAR",12-05-2026
152.,LPKS PALAPA MUDA INDONESIA,JAWA TENGAH,"JL.WINONG - PUCAKWANGI KM.01 DS.PEKALONGAN RT2 RW1 KEC.WINONG, KAB. PATI, JAWA TENGAH, 59181",12-05-2026
153.,LPK AISHIN INDONESIA,DKI JAKARTA,JL TERUSAN I NGURAH RAI RUKO WARNA WARNI NO.1 PONDOK KOPI JAKARTA TIMUR,12-05-2026
154.,LPK SANUSI PUSAKA SUNDA,JAWA BARAT,KP. BANTARSEMA RT 019 RW 006 DESA CISAGA KEC. CIBOGO KAB. SUBANG,28-04-2026
155.,PT JAPAN INDONESIA ALIANSI,BANTEN,"JL. BSD RAYA UTAMA RUKO ALICANTE BLOK D NO. 09, MEDANG, PAGEDANGAN, TANGERANG, BANTEN 15334",14-04-2026
156.,LPK PT DUTAGRIYA SARANA,DKI JAKARTA,"GRAHA MAS FATMAWATI BLOK A10-AL1, JL. RS. FATMAWATI NO. 71 CIPETE UTARA, KEBAYORAN BARU, JAKARTA SELATAN",14-04-2026
157.,LPK AKARI JAWA INDONESIA,JAWA TENGAH,"JL. LINGKAR BARAT DELANGGU, GATAK BARU, SRIBIT, DELANGGU, KLATEN 57471",14-04-2026
158.,LPK SHINRAI JAPAN INDONESIA,JAWA BARAT,"JL CIMANUK BLOK B1 NO 33 BOGOR BARU TAMAN, KELURAHAN TEGAL GUNDIL, KECAMATAN BOGOR UTARA, KOTA BOGOR",14-04-2026
159.,LPK. BINTANG PERMATA NUSA,JAWA BARAT,JL. TUPAREV KOMPLEK CIREBON BISNIS CENTER BLOK E NO. 2 DS. SUTAWINANGUN,14-04-2026
160.,LPK HIKARI BALI,BALI,"JLN. KRESNA, BR. DINAS METRA KELOD",11-04-2026
161.,KANSHA INDONESIA CENTER,JAWA TENGAH,JL. SUMBER KETANDAN NO 11 RT 16/RW 05. KEL. SECANG,11-04-2026
162.,LPK FUJIWARA JLC,JAWA BARAT,"SUTAN RAJA KATIASA RESIDENCE BLOK B1 NO. 2, JL. ANGKASA RAYA RT. 006 RW. 001 KATIASA BARU KEL. KALIJAGA, KEC. HARJAMUKTI, KOTA CIREBON",11-04-2026
163.,LPK NAGOYA COURSE CENTER,LAMPUNG,"JL. RAYA PEKALONGAN DUSUN II RT. 012/RW.004 KEL. PEKALONGAN, KEC. PEKALONGAN",11-04-2026
164.,WADAH PERINTIS MUDA,JAWA BARAT,DESA KASUGENGAN KIDUL BLOK KAPLING BARU RT18 RW 07 KECAMATAN DEPOK,11-04-2026
165.,LPK TSUNAGARU INDONESIA,SULAWESI SELATAN,"JL.MANGGARUPI,KELURAHAN BONTO-BONTOA,KECAMATAN SOMBA OPU,KAB GOWA,PROVINSI SULAWESI SELATAN,INDONESIA",11-04-2026
166.,LPK CAHAYA MATAHARI MANADO,SULAWESI UTARA,MARINA PLAZA BLOK D/3 KELURAHAN WENANG UTARA KECAMATAN WENANG,11-04-2026
167.,YAYASAN SHIN INDONESIA,SULAWESI SELATAN,JL.BATUA RAYA 1 NO.1 A KELURAHAN BATUA KECAMATAN MANGGALA,11-04-2026
168.,SAIKO JAYA SUKSES,JAWA BARAT,JL. UTAMA BIEE RUKO CENTRAL BLOCK ESC NO. 1 LIPPO CIKARANG,06-04-2026
169.,LPK SEIKOU AGENG,LAMPUNG,"DUSUN IV RT 014/RW007, DESA SRIPENDOWO, KECAMATAN BANDAR SRIBHAWONO, KABUPATEN LAMPUNG TIMUR 34199",31-03-2026
170.,LPK TAIHOU FUSION ORGANIZATION INDONESIA JAPAN,JAWA BARAT,"JL. PEMUDA NO.9B, RT 001/ RW 004",21-03-2026
171.,LPK KESUMA KARYA BANGSA,JAWA TIMUR,"JL. RAJASA NO. 189, KEL. BUMIAYU, KEC. KEDUNGKANDANG",13-03-2026
172.,LPK HIMAWARI INDONESIA JAYA,BANTEN,JL.BSD RAYA UTAMA RUKO ALICANTE BLOK C NO 09,09-03-2026
173.,LPK KEBUN,JAWA BARAT,"JL.CUT MUTIA NO 30, KEL.MARGAHAYU KEC. BEKASI TIMUR, KOTA BEKASI, JAWA BARAT, 17113",09-03-2026
174.,LPK JAPAN INDONESIA COLLEGE,JAWA BARAT,"DUSUN LABAN NO. 92 RT.006/002, DESA BUGIS, KEC. ANJATAN",09-03-2026
175.,LPK ELEMEN INTERNASIONAL PELANGI,BALI,"JL. RAYA ULUWATU NO.31, KEDONGANAN, KUTA, KABUPATEN BADUNG, BALI 80361, INDONESIA",07-03-2026
176.,LPK SAREKAH INSAN ATAMA,DKI JAKARTA,JL. RAYA CIPAYUNG SETU NO. 33 JAKARTA TIMUR,07-03-2026
177.,LPK INDOPURAJA TEKNIKA,JAWA BARAT,JL. TERUSAN JAKARTA NO. 175A RT. 001 RW. 006 KEL. ANTAPANI KULON KEC. ANTAPANI,28-02-2026
178.,LPK WIRAKARYA TRAINING CENTRE,JAWA BARAT,JL. RAYA LASWI NO. 742B DS. MANGGUNGHARJA KEC. CIPARAY,28-02-2026
179.,LPK LINTAS NEGERI,BALI,JALAN NUSA INDAH RAYA NO 57A KEL. BALER BALE AGUNG KEC. NEGARA,28-02-2026
180.,LPK OKAGE MANDIRI,BANTEN,"JL. SWADAYA RAYA NO.62, RT.002/RW.005, LARANGAN INDAH, KEC. LARANGAN, KOTA TANGERANG",28-02-2026
181.,KOKUSAI JINZAI SUPPORT,BANTEN,JALAN REFORMASI UTAMA NO 58,28-02-2026
182.,LPK BINAWAN,JAWA BARAT,"JL. HANJAWAR NO.99B, KOTA BUNGA, KECAMATAN PACET",21-02-2026
183.,LPK MITRA BUDI LESTARI,JAWA TENGAH,JL. NAKULA N0.43 KEL. SLEROK KEC. TEGAL TIMUR KOTA TEGAL,17-02-2026
184.,LPK SOLO HOKY INDONESIA,JAWA TENGAH,"JL. SALAK RAYA NO. 22 KABALAN, NGADIREJO, KARTASURA, SUKOHARJO",17-02-2026
185.,LPK WAKAI ICHI INDONESIA,JAWA BARAT,JL. DESA KELURAHAN PEKANDANGAN JAYA,17-02-2026
186.,TRAINING & LEARNING CENTER,BALI,"JALAN MOH. HATTA, LC. SUBAK AYA, BEBALANG",13-02-2026
187.,LPK CARIBBEAN INTERNATIONAL SCHOOL,BALI,"JLN. RAYA BEDULU, BLAHBATUH, GIANYAR",02-02-2026
188.,BROTHER TRAINING CENTER,JAWA BARAT,PANEMBONG RT1/RW4 DS MEKARSARI,31-01-2026
189.,LPK. SALUNGLUNG,BALI,JL. GUNUNG BROMO 16 DENPASAR - BALI,31-01-2026
190.,LPK EDUCATION JAPAN CENTER INDONESIA,JAWA BARAT,"KP. SUKALILAH RT 04 RW 07 DESA CITAPEN, KECAMATAN CIHAMPELAS",31-01-2026
191.,LPK HARAPAN PUTERA BANDUNG INDONESIA,JAWA BARAT,ASTOM RESIDENCE BLOK A-21 RT.03 RW.04 KEC. CIBIRU KEL. PALASARI,31-01-2026
192.,LPK BUANA GOGAKUIN,JAWA BARAT,"JL. RAYA CARACAS NO.102, DUSUN WAGE RT 018 RW 005, DESA CARACAS, KECAMATAN CILIMUS",31-01-2026
193.,LPK GLOBAL ALPHA,JAWA TENGAH,"JL. BRIGJEN KATAMSO, DK. DEMANGAN RT. 01 RW. 03, DS. NGEMPLAK, KEC. KARTASURA",31-01-2026
194.,LPK MUGEN (MULTI GENERASI INDONESIA),DKI JAKARTA,"BLOK M PLAZA LT. 7, UNIT Q7, JL. BULUNGAN NO. 76. KEBAYORAN BARU",31-01-2026
195.,LPK MAJESTA FOUNDATION,JAWA TENGAH,"CEPIT RT 05 RW 04 NGARGOREJO, NGEMPLAK, BOYOLALI, JATENG",31-01-2026
196.,LPK KACHI KOKORO,JAWA BARAT,"JALAN RAYA KAMPUNG PASIR KAMPUNG PASEKON NO.30, KEL. CIPANAS KEC.CIPANAS",30-01-2026
197.,LPK KARYA JAYA ABADI,NUSA TENGGARA BARAT,JL. KRAKATAU 1 NO.8 DUSUN SUKA MAJU DESA MIDANG KECAMATAN GUNUN SARI,30-01-2026
198.,LPK KOCHI MAKMUR INDONESIA,JAWA BARAT,"JL. RAYA BANDUNG NO.253 DESA BOJONG, KEC.KARANG TENGAH",30-01-2026
199.,LPK YUTAKA EDUCATION CENTER,JAWA BARAT,"PERUMAHAN GRAND TARUMA RUKO WIJAYA BLOK B NO 12 JL. TARUMANEGARA KAV. 8 ARTERI TOL KARAWANG BARAT DESA SUKAMAKMUR, KEC TELUK JAMBE TIMUR, KARAWANG",30-01-2026
200.,LPK AL ALIF INDRAMAYU,JAWA BARAT,BLOK KANDANGHAUR RT.001/001 DESA BABAKANJAYA KEC. GABUS WETAN,30-01-2026
201.,PT OOSAKA GAKKOU,JAWA TIMUR,JL RAYA WATES KEDIRI DS.NGLETIH KEC.KANDAT,30-01-2026
202.,LPK CASSEN,JAWA BARAT,KP. BABAKAN SALAM RT. 03 RW. 13 DESA SUKASENANG KECAMATAN BANYURESMI,25-01-2026
203.,LPK TJOKRO BAKTI.,DKI JAKARTA,"JL. PULOGADUNG NO. 24, KEL. JATINEGARA, KEC. CAKUNG, KAWASAN INDUSTRI PULOGADUNG.",25-01-2026
204.,TOMO GRAHA KIRANA,JAWA BARAT,JALAN MT HARYONO DESA DERMAYU KECAMATAN SINDANG KABUPATEN INDRAMAYU JAWA BARAT,25-01-2026
205.,LPK GAKUSHUDO,DKI JAKARTA,"KOMPLEK WIJAYA GRAHA PURI BLOK F NO. 60, JL. WIJAYA II, KEL. PULO, KEC. KEBAYORAN BARU",25-01-2026
206.,LPK HAGUKUMI GAKUIN PADANG,SUMATERA BARAT,JALAN JAMBAK INDAH KOMP. GRIYA AGRO LESTARI II BLOK A.6 RT 003 RW 001 KEL. BANDAR BUAT KEC. LUBUK KILANGAN,25-01-2026
207.,LPK. MANABU INSAN MULIA,JAWA TIMUR,PERUM TAMAN ANGGUN SEJAHTERA 3 BLOK F11 NO. 7,25-01-2026
208.,YAYASAN ISMOYO JATI BERSINAR,JAWA TENGAH,KP.BUNTALAN RT.001 RW.009 KELURAHAN BUNTALAN KECAMATAN KLATEN TENGAH 57419,25-01-2026
209.,LPK ADIPATI BHUMI BHAKTI,JAWA BARAT,JL. DEWI SARTIKA GG. TEMBAKANG NO. 3 RT. 003 RW. 006 KEL. MARGAHAYU KEC. BEKASI TIMUR KOTA BEKASI,25-01-2026
210.,KIZUNA WAWONII INDONESIA,SULAWESI TENGGARA,JL. PELABUHAN LANGARA,20-01-2026
211.,LPK NUSANTARA GAKKOU BANYUWANGI,JAWA TIMUR,"DUSUN KEBONSARI RT.03 RW.03 DESA BENCULUK, KECAMATAN CLURING, KABUPATEN BANYUWANGI",20-01-2026
212.,LPK BALI BINA MANDIRI,BALI,"JL KRESNA BARAT TUGU PERGUNG, MENDOYO",20-01-2026
213.,LPK FUJIYAMA GLOBAL INDONESIA,JAWA TENGAH,"GRAHA FUJIYAMA JL TANJUNG RAYA NO 43 KARANGASEM SURAKARTA, JAWA TENGAH, INDONESIA",30-12-2025
214.,LPK WAKAWASHI MANDIRI INDONESIA LPK WMI,DI YOGYAKARTA,"KANOMAN RT. 01 RW. 05, BANYURADEN, GAMPING SLEMAN YOGYAKARTA 55293",30-12-2025
215.,BALI SORA RAHAYU,BALI,"BANJAR DINAS LUAH, DESA SANGKAN GUNUNG, KECAMATAN SIDEMEN",30-12-2025
216.,LPK SAKURA MANDIRI INDONESIA,JAWA BARAT,JL.KOSAR RT.008 RW.007 KELURAHAN.PASIR ENDAH KECAMATAN.UJUNG BERUNG KOTA.BANDUNG PROVINSI.JAWA BARAT,30-12-2025
217.,LPK MASSAIHARA,JAWA BARAT,JL. CILEMAH ABANG RAYA BLOK J NO.9 (PUSPA) JABABEKA 2 CIKARANG BARU KAB. BEKASI,30-12-2025
218.,LPK BULAN PALAPA BALI,BALI,"JLN RAYA BR.PENAGA,DESA LANDIH,KECAMATAN BANGLI,KABUPATEN BANGLI,BALI",30-12-2025
219.,LPK MARIKANGEN MANDIRI,JAWA BARAT,JL.PANGERAN ANTASARI BLOK JATIWATES DESA LURAH KECAMATAN PLUMBON KABUPATEN CIREBON,30-12-2025
220.,LPK KANZO INDONESIA,JAWA TIMUR,JALAN SAWO NO 58 TANGGUL JEMBER,30-12-2025
221.,PT. SAITAMA JAPANESE LANGUAGE SCHOOL,JAWA TENGAH,"DSN. PENGASINAN, RT/RW 003/002, DS. JERUK LEGI KULON, KEC. JERUK LEGI, KAB. CILACAP, PROV. JAWA TENGAH",30-12-2025
222.,LEMBAGA PELATIHAN KERJA SWASTA TRAINING CENTRE,BALI,"BANJAR DINAS BIAS,DESA ABABI,KECAMATAN ABANG,KABUPATEN KARANGASEM",30-12-2025
223.,LPK ARCADIA,JAWA TENGAH,"JL. BRIGJEN KATAMSO NO.24, KRAJAN, PANGENJURUTENGAH, KEC. PURWOREJO",30-12-2025
224.,LPK YONASINDO INTRA PRATAMA,BANTEN,"JALAN PEMBANGUNAN III NO.45,KEL. KARANGSARI KEC.NEGLASARI, KOTA TANGERANG",30-12-2025
225.,LPK PT INDONESIA NIPPON ANUGERAH,JAWA BARAT,JL ARIF RAHMAN HAKIM NO 36 RT 010/RW 006,30-12-2025
226.,FUJINDO SERVIS INDONESIA,DKI JAKARTA,JALAN RS. FATMAWATI NO. 110,30-12-2025
227.,LPKS EIKO GAKKOU,JAWA TENGAH,"JALAN RAYA PURWODADI-SOLO KM. 11, DSN. MOJOLEGI, RT 05/ RW 01, DS. BANDUNGHARJO, KEC. TOROH, KAB. GROBOGAN, PROV. JAWA TENGAH",30-12-2025
228.,LPK MINORI,JAWA BARAT,"JLN. RAYA CIBARUSAH NO. 21 J KP. PAGAULAN DESA SUKARESMI, KECAMATAN CIKARANG SELATAN, KABUPATEN BEKASI",30-12-2025
229.,LPK JANTRAS CIAMIS,JAWA BARAT,PERUM BUMI AR-RAFAH INDAH RESIDENCE BLOK C3 SINDANGKASIH CIAMIS JAWA BARAT 46268,20-12-2025
230.,LPK ASIA BUDAYA CENTER,BANTEN,"JL. SUKAMANDI RAYA KP. SUKAMANDI RT 001 RW 009 KARANGSARI, NEGLASARI",20-12-2025
231.,MIZUNO SEMANGAT BANGSA,JAWA BARAT,KP WARUNGDANAS 003/001 DESA KADEMANGAN KEC.MANDE,20-12-2025
232.,LPK NISSHO SETIA INDONESIA,BANTEN,JL. BOULEVARD RAYA RUKO GLAZE 2 BLOK B NO 9 PARAMOUNT SERPONG,20-12-2025
233.,LPK SHINJU,JAWA TENGAH,JL. TM. LEBDOSARI XII NO. 2 RT 08 RW 02 KEL. KALIBANTENG KULON KEC. SEMARANG BARAT 50145,13-12-2025
234.,LPK TOEI TEKNOLOGI INDONESIA,JAWA BARAT,PERUM GRAND TARUMA DHARMAWANGSA 1 BLOK C NP 08/CG SUKAMAKMUR TELUKJAMBE TIMUR,13-12-2025
235.,LPK RYU NUSANTARA,JAWA BARAT,KP MEKARSARI RT 06 RW 22 NO 44 KELURAHAN BALEENDAH KECAMATAN BALEENDAH,13-12-2025
