NO.,NAMA_SO,PROVINSI,ALAMAT,MASA_IZIN
1.,LPK KOTOBA CENTER CIREBON,JAWA BARAT,BTN KEDUNG BUNDER INDAH KECAMATAN,20-02-2027
2.,LPK AOTANI GLOBAL INDONESIA,BANTEN,"DESA KAYU AGUNG, KAMPUNG PISANGAN CACERE, RT 06 RW 02 KEC. SEPATAN, KAB. TANGERANG BANTEN",16-02-2027
3.,YAYASAN DWIPAYANA CIPTA KARYA,BALI,"JALAN COCOA II NO 69, BANJAR BUNUTAN, DESA KEDEWATAN, KECAMATAN UBUD, GIANYAR, BALI",29-01-2027
4.,LPK PUTRA HARAPAN BANGSA,JAWA BARAT,JALAN PASIR IMPUN NO. 21 RT 005 RW 010 KELURAHAN KARANG PAMULANG KECAMATAN MANDALAJATI,29-01-2027
5.,LPK REGISA FOUNDATION,JAWA BARAT,JL.FLAMBOYAN RAYA BS 34/30-31 KRANGGAN PERMAI,29-01-2027
6.,LPK JIRITSU NUSANTARA,JAWA BARAT,"JALAN VETERAN NO.27, RT.001, RW.005, PANARAGAN, BOGOR TENGAH",29-01-2027
7.,PT DELLA DING SHENG INDONESIA,JAWA BARAT,JL RAYA BOJONGMANGU KP CIHANJUANG DESA BOJONGMANGU KEC BOJONGMANGU KAB BEKASI,25-01-2027
8.,YAYASAN DWIPAHARA,BALI,"JL. KRISNA NO. 87A METRA KAJA YANGAPI, TEMBUKU, BANGLI,BALI,",25-01-2027
9.,LPK CHAKRA DIAN UTAMA,JAWA BARAT,JL. PARPOSTEL RAYA NO. 3 KP PEDURENAN JATILUHUR JATIASIH KOTA BEKASI,23-01-2027
10.,LPK PUTRI YANG MANDIRI,JAWA BARAT,CARINGIN V NO 182 KEL MUSTIKASARI KEC MUSTIKAJAYA,19-01-2027
11.,LPK SAKURA INDONESIA,LAMPUNG,JL. RAYA PALAS DESA BANGUNAN KECAMATAN PALAS 35593,10-01-2027
12.,LPK PASIFIC MARINE HOTEL & CRUISESHIP SCHOOL,DI YOGYAKARTA,"JALAN DAENG NO.72, BUGISAN, TAMANMARTANI,, KEPATIHAN, TAMANMARTANI, KALASAN, KABUPATEN SLEMAN, DAERAH ISTIMEWA YOGYAKARTA 55571",29-12-2026
13.,LPK HABATAKI,BALI,"JALAN RAYA PENGOSEKAN, BR PENGOSEKAN KAJA, DESA MAS, KECAMATAN UBUD, KABUPATEN GIANYAR, BALI",29-12-2026
14.,LPK BUDI AGUNG BINATARA,DKI JAKARTA,"JL. WIJAYA II, KEBAYORAN BARU, JAKARTA SELATAN 12160",29-12-2026
15.,MIRAI MUKI INDONESIA,NUSA TENGGARA BARAT,"JL. KOKOK SEGARE II NO.4, KEKALIK JAYA, KEC. SEKARBELA",29-12-2026
16.,KAMPUH WELDING INDONESIA,JAWA TIMUR,"JL. SAWO VI NO 28 BRINGIN, SAMBIKEREP",29-12-2026
17.,LPK AKARI HARAPAN SRAGEN,JAWA TENGAH,SIDOHARJO RT03/RW01 KEL.SIDOHARJO KEC.SIDOHARJO KAB.SRAGEN,29-12-2026
18.,LPK HIRO,JAWA TENGAH,"JL. SOLO - PURWODADI KM. 6,5 WONOREJO, GONDANGREJO, KARANGANYAR",29-12-2026
19.,LPK WIWITAN BARU SUKABUMI,JAWA BARAT,"JALAN GOALPARA RT. 01 RW.06 DESA/KELURAHAN SUKARAJA, KECAMATAN SUKARAJA, KABUPATEN SUKABUMI 43192",29-12-2026
20.,LPK REKADAYA KARSA UTAMA,JAWA TIMUR,"PERUM ALAM PESONA 1 BLOK E2 NO 1,RT 63 RW 11,SIDOREJO,KRIAN",29-12-2026
21.,CHUOO MANDIRI,LAMPUNG,DUSUN SIDO ASRI DESA BERNUNG KEC. GEDONG TATAAN,29-12-2026
22.,LPK JIRITSU,JAWA TENGAH,"LINGKUNGAN BEJI, RT2/RW6, BERGAS LOR, BERGAS, KAB. SEMARANG",29-12-2026
23.,LPK IWA KYO INDONESIA,JAWA TENGAH,"JL.GUNUNG SLAMET NO.107 SUKOREJO RT.01/19 KELURAHAN BANJARSARI, KECAMATAN BANJARSARI, KOTA SURAKARTA, JAWA TENGAH",29-12-2026
24.,LPK CANGGIH BRASTEL INDONESIA,JAWA BARAT,"GRAHA DEPOK MAS A1, JALAN ARIF RAHMAN HAKIM NO. 3, DEPOK, PANCORAN MAS",29-12-2026
25.,LPK BORNEO RAYA KHATULISTIWA,KALIMANTAN BARAT,JL. TEKAM KOMP GRIYA PRATAMA 1 BLOK H.10 KEL. SAIGON KEC. PONTIANAK TIMUR,29-12-2026
26.,LPK HISHOU UNIVERSAL STYLE,BALI,"BR. PENAGA, DS. YANGAPI,KEC. TEMBUKU",28-12-2026
27.,LEMBAGA PELATIHAN KERJA HAMAREN,JAWA BARAT,RUKO SIMPRUG PLAZA BLOK. A2 N0.28 JL.TAMAN SIMPRUG RAYA SERTAJAYA CIKARANG TIMUR BEKASI 17530,28-12-2026
28.,LPK KARUNIA DEWATA,BALI,"JALAN BATUR SARI GANG MAWAR MERAH NO. 1, KEDONGANAN, KUTA",28-12-2026
29.,KOMATSU TRAINING CENTER,JAWA BARAT,JL. BARANANGSIANG NO. 25 BANDUNG 40112,28-12-2026
